dateS,yearS,mov ave,7 year mov ave,weighted
1749,80.925,,,
1750,83.39166667,,,
1751,47.65833333,58.09,,56.46166667
1752,47.8,44.34833333,44.6047619,44.3475
1753,30.675,29.58333333,34.5,29.99583333
1754,12.21666667,22.09,27.21904762,18.73416667
1755,9.566666667,19.015,27.21071429,14.61833333
1756,10.19166667,22.4,28.09166667,18.45666667
1757,32.425,30.75,32.68928571,30.88166667
1758,47.6,41.40833333,43.20833333,43.62333333
1759,53.96666667,56.54,50.57738095,55.50583333
1760,62.85833333,62.285,55.56666667,63.98166667
1761,85.85,61.78833333,56.12738095,69.05
1762,61.15,58.265,52.31428571,60.57416667
1763,45.11666667,49.875,46.23452381,48.2225
1764,36.35,34.98666667,42.65833333,35.00083333
1765,20.90833333,30.32166667,40.37142857,26.20916667
1766,11.40833333,35.26666667,46.79166667,26.92916667
1767,37.825,49.215,54.74642857,44.08
1768,69.84166667,65.19333333,61.20833333,67.94083333
1769,106.0916667,79.22833333,67.7202381,88.50583333
1770,100.8,84.96166667,71.05833333,91.48833333
1771,81.58333333,77.94833333,70.02857143,80.17833333
1772,66.49166667,62.85333333,61.05238095,63.01
1773,34.775,44.095,48.72738095,42.19083333
1774,30.61666667,31.74166667,47.54166667,29.23416667
1775,7.008333333,36.94333333,57.93928571,25.6175
1776,19.81666667,60.86166667,66.4297619,46.32666667
1777,92.5,79.92333333,73.57619048,85.13
1778,154.3666667,95.48166667,78.9297619,115.8933333
1779,125.925,105.1366667,83.42261905,114.2625
1780,84.8,94.32833333,83.84880952,92.00583333
1781,68.09166667,68.015,72.08690476,66.76083333
1782,38.45833333,44.86333333,53.47738095,43.05833333
1783,22.8,32.72333333,47.32619048,28.06416667
1784,10.16666667,35.67833333,54.07261905,25.57916667
1785,24.1,54.39166667,63.04642857,43.72916667
1786,82.86666667,76.01333333,74.425,78.47916667
1787,132.025,97.60166667,84.00952381,109.7858333
1788,130.9083333,110.76,92.06904762,119.6658333
1789,118.1083333,107.5033333,97.20357143,111.2641667
1790,89.89166667,93.10666667,92.06547619,91.99
1791,66.58333333,76.305,79.06190476,73.12083333
1792,60.04166667,60.88333333,63.39880952,59.8025
1793,46.9,47.15833333,48.81428571,47.75333333
1794,41,37.045,36.88571429,37.63916667
1795,21.26666667,26.315,27.9547619,25.23916667
1796,16.01666667,17.74833333,20.34285714,16.445
1797,6.391666667,10.9,15.71071429,9.375833333
1798,4.066666667,9.541666667,14.71071429,7.305833333
1799,6.758333333,13.13833333,18.10595238,10.45083333
1800,14.475,20.86666667,21.96785714,18.85166667
1801,34,28.66333333,27.83571429,30.4825
1802,45.03333333,36.805,33.28928571,39.6175
1803,43.05,42.35833333,36.33928571,43.34416667
1804,47.46666667,41.18,35.70714286,43.35916667
1805,42.24166667,34.18333333,32.01309524,37.32166667
1806,28.10833333,27.20166667,25.94166667,27.2625
1807,10.05,18.215,19.79166667,15.7475
1808,8.141666667,9.766666667,13.21309524,8.584166667
1809,2.533333333,4.428333333,7.885714286,3.788333333
1810,0,3.408333333,5.611904762,2.099166667
1811,1.416666667,4.218333333,6.166666667,3.029166667
1812,4.95,6.498333333,10.06071429,6.095
1813,12.19166667,13.57833333,16.24285714,12.335
1814,13.93333333,22.45666667,22.10833333,20.1675
1815,35.4,29.67833333,26.19880952,31.43333333
1816,45.80833333,33.25,28.91547619,38.01333333
1817,41.05833333,35.25666667,29.40595238,37.53166667
1818,30.05,31.30166667,28.36071429,31.16833333
1819,23.96666667,23.46333333,23.8702381,23.48916667
1820,15.625,16.045,17.58214286,15.76833333
1821,6.616666667,10.39333333,12.81071429,9.140833333
1822,3.966666667,7.131666667,10.88928571,5.596666667
1823,1.791666667,7.326666667,12.64761905,5.363333333
1824,7.658333333,13.25833333,17.49761905,10.76583333
1825,16.6,22.38,25.7202381,20.56333333
1826,36.275,34.85666667,34.7202381,34.92833333
1827,49.575,46.71833333,44.59880952,48.27666667
1828,64.175,57.58666667,50.33571429,59.7
1829,66.96666667,59.895,51.89880952,63.54916667
1830,70.94166667,55.48833333,47.93571429,60.505
1831,47.81666667,44.36,42.7452381,46.37333333
1832,27.54166667,33.615,41.7,30.705
1833,8.533333333,30.79833333,49.48571429,22.0375
1834,13.24166667,45.52833333,59.10952381,33.27583333
1835,56.85833333,67.68166667,67.01428571,64.36916667
1836,121.4666667,86.605,75.3202381,99.25916667
1837,138.3083333,101.0933333,83.33809524,114.5008333
1838,103.15,102.6533333,86.6952381,104.6708333
1839,85.68333333,85.70833333,82.02857143,85.34
1840,64.65833333,62.885,66.20952381,63.0825
1841,36.74166667,44.40166667,48.59285714,42.10833333
1842,24.19166667,30.26333333,39.58095238,27.13666667
